Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
New Avalonbay Apartment Building,$ 16776015,,ALAMEDA,2024-07-01,,Apartments/Condominiums 1-3 Stories,AvalonBay Communities Inc,4089831500.0,New Project,"5717,5605 Owens Dr",PLEASANTON,,,,,,,,N,,,,,
New CDD Headquarters Campus,$ 230000000,Clark Construction Group LLC,SAN FRANCISCO,2025-03-01,2028-02-01,Office,San Francisco Public Utilities Commission,4155541601.0,New Project,2000 Marin St,SAN FRANCISCO,9493043099.0,180 Howard St Ste 1200,San Francisco,,SAN FRANCISCO,dave.jenkins@clarkconstruction.com,Construction Management at Risk,N,https://www.clarkconstruction.com/,FOLLOW UP,,,
RFQ/DB: East County Service Center,$ 130000000,,CONTRA COSTA,2025-06-01,2027-12-01,Retail (Other),County of Contra Costa,9256464496.0,New Project,Technology Way,BRENTWOOD,,,,,,,Design/Build,N,,,,,
Kaiser Permanente Medical Center - Utility Plant - Garage,$ 658673731,Rudolph & Sletten Inc.,SANTA CLARA,2025-05-01,2029-11-01,Hospital,Kaiser Foundation Hospitals,5102715800.0,New Project,250 Hospital Pkwy,SAN JOSE,6502163600.0,2 Circle Star Way Fl 4,San Carlos,,SAN MATEO,corpcomm@rsconst.com,Contract Method Undetermined,N,https://www.rsconstruction.com/,FOLLOW UP,,,
Petaluma Airport - Taxiway A Rehabilitation,$ 895777,,SONOMA,2025-06-01,,Runway/Taxiway,City of Petaluma,7077784546.0,"Alterations, New Project",601 Sky Ranch Dr,PETALUMA,,,,,,,Design-Bid-Build,N,,,,,
Hudeman Slough Boat Launch Facilities Improvements,$ 2353000,"Gordon N. Ball, Inc",SONOMA,2025-06-01,2025-11-01,Dock/Pier,County of Sonoma - GS/Architect Div,7075652550.0,"Alterations, New Project",28020 Skaggs Island Rd,SONOMA,9258385675.0,1777 Oakland Blvd Ste 300,Walnut Creek,,CONTRA COSTA,,Design-Bid-Build,Y,http://www.ballconco.com,,,,
Balbach Park Transportation Improvement,$ 1666232,"Redgwick Construction, Inc.",SANTA CLARA,2025-06-01,,Park/Playground,City of San Jose,4085353500.0,"Alterations, New Project",CA-87 Various Locations,SAN JOSE,5107921727.0,21 Hegenberger Ct,Oakland,,ALAMEDA,estimating@redgwick.com,Design-Bid-Build,Y,http://www.redgwick.com/,,,,
House,$ 1181696,,CONTRA COSTA,,,Sale/Spec Homes,Viam Danville LLC,,New Project,5 Loyal Dragon Pl,Danville,,,,,,,,,,,,,
House,$ 1382848,,CONTRA COSTA,,,Sale/Spec Homes,Viam Danville LLC,,New Project,9 Loyal Dragon Pl,Danville,,,,,,,,,,,,,
SJCOE CodeStack Academy Renovation REBID,$ 20680000,"Diede Construction, Inc.",SAN JOAQUIN,2025-06-01,2026-12-01,Middle/Senior High School,San Joaquin County Office of Education,2094684800.0,New Project,201 N California St,STOCKTON,2093698255.0,12393 N Highway 99,Lodi,,SAN JOAQUIN,estimating@diedeconstruction.com,,Y,https://www.diedeconstruction.com,,,,
Electric Bus Charging Station at H Glenn Richardson,$ 1140000,"Jpb Designs, Inc.",SOLANO,2025-03-01,2025-11-01,Vehicle Sales/Service,Fairfield-Suisun Unified School District,7073995148.0,"Alterations, New Project",1069 Meadowlark Dr,FAIRFIELD,3127717056.0,5650 Main Ave,Orangevale,,SACRAMENTO,,Design-Bid-Build,Y,,,,,
House,$ 1181696,,CONTRA COSTA,,,Sale/Spec Homes,Viam Danville LLC,,New Project,1 Loyal Dragon Pl,Danville,,,,,,,,,,,,,
House,$ 1179069,,CONTRA COSTA,,,Sale/Spec Homes,Viam Danville LLC,,New Project,6 Loyal Dragon Pl,Danville,,,,,,,,,,,,,
Cement Hill Water Treatment Plant - New Entryway,$ 1276173,"Ghilotti Bros., Inc.",SOLANO,2025-05-01,,Water Treatment Plant,City of Fairfield,7074284034.0,New Project,1200 Manuel Campos Pkwy,FAIRFIELD,4154547011.0,525 Jacoby St,San Rafael,,MARIN,sarahk@gbi1914.com,Design-Bid-Build,N,http://www.ghilottibros.com,,,,
SCVWD - Permanente and Hale Creeks Concrete Channel Repair,$ 1384450,"Disney Construction, Inc.",SANTA CLARA,2025-05-01,,Storm Sewer,Santa Clara Valley Water District,4086302095.0,"Alterations, New Project",Permanente Creek Hale Creek,MOUNTAIN VIEW,6502599545.0,533 Airport Blvd Ste 120,Burlingame,,SAN MATEO,dzaratian@disneyconstruction.com,Design-Bid-Build,Y,http://www.disneyconstruction.com,,,,
House,$ 828733,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18652 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 1221994,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,2205 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
House,$ 828733,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,2195 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
392 Lockeford Community Public Restroom,$ 500000,,SAN JOAQUIN,2025-03-01,,Miscellaneous Recreational,Lockeford Community Service District,2097275035.0,New Project,19258 N Jack Tone Rd,STOCKTON,,,,,,,Design-Bid-Build,N,,,,,
Belmont 2025 Sewer Rehabilitation,$ 2330000,,SAN MATEO,2025-06-01,,Sanitary Sewer,City of Belmont Public Works Dept,6505957463.0,"Alterations, New Project",Various locations,BELMONT,,,,,,,Design-Bid-Build,Y,,FOLLOW UP,,,
House,$ 611155,,SANTA CLARA,,,Sale/Spec Homes,Sher Const Inc,,New Project,5827 Brasilia Wy Lot # Lot 1,San Jose,,,,,,,,,,,,,
Building Related Construction & Improvements IQC,$ 24000000,,ALAMEDA,2025-07-01,,Office,City of Oakland - Public Works,5106271439.0,"Alterations, New Project",,Oakland,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 1250000,,SANTA CLARA,,,Sale/Spec Homes,Dev Svcs Center,,New Project,1070 Rose Orchard Pl,Morgan Hill,,,,,,,,,,,,,
Lathrop Marketplace 3 Buildings,$ 1000000 - $ 2999999,,SAN JOAQUIN,2025-03-01,,Retail (Other),Watt Capital Partners,3103142436.0,New Project,16858 Golden Vly Pkwy,LATHROP,,,,,,,Design-Bid-Build,N,,,,,
House,$ 652263,,SANTA CLARA,,,Sale/Spec Homes,John Const Inc,,New Project,1599 Old Piedmont Rd Lot # Lot 3,San Jose,,,,,,,,,,,,,
House,$ 1034629,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,2170 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
HSIP 10 Systematic Crossing Improvements,$ 1750315,,ALAMEDA,2025-03-01,,Roadway Lighting,City of Oakland,5102383171.0,"Alterations, New Project",Various Locations,Oakland,,,,,,,Design-Bid-Build,N,,,,,
Keiser Avenue Reconstruction Project - Phase 3,$ 2656172,Ghilotti Construction Co.,SONOMA,2025-06-01,,Paving,City of Rohnert Park,7075883300.0,"Alterations, New Project",Keiser Ave,ROHNERT PARK,7075851221.0,246 Ghillotti Ave,Santa Rosa,,SONOMA,annette@ghilotti.com,Design-Bid-Build,Y,http://www.ghilotti.com,,,,
House,$ 788241,,SANTA CLARA,,,Sale/Spec Homes,Pavan Sura,,New Project,7289 Via Brezzo Lot # Lot 4,San Jose,,,,,,,,,,,,,
House,$ 1300000,,CONTRA COSTA,,,Sale/Spec Homes,Raintree Homes,,New Project,1570 Rancho View Dr,Lafayette,,,,,,,,,,,,,
West Harbor Park Apartments & Parking Garage,$ 25000000 - $ 49999999,"Huff Construction Company, Inc.",SOLANO,2025-06-01,,Apartments/Condominiums 4  Stories,Klein Financial,6508330100.0,New Project,961 Porter St,VALLEJO,2095457505.0,4917 STODDARD RD,MODESTO,Bob Ott,STANISLAUS,bobott@huffcon.com,Design-Bid-Build,N,https://www.huffcon.com/,,,,
Veterans Blvd Sanitary Sewer Replacement - Phase 3,$ 4375600,"SubTerra Construction, Inc.",SAN MATEO,2025-06-01,,Sanitary Sewer,City of Redwood City,6507807362.0,"Alterations, New Project",Veterans Blvd (Walnut Street and Hansen Way),REDWOOD CITY,4155651244.0,1350 Van Dyke Ave # 101,San Francisco,,SAN FRANCISCO,,Design-Bid-Build,Y,,,,,
Dry Creek Road Bridge Replacement,$ 6331821,"Gordon N. Ball, Inc",NAPA,2025-06-01,,Bridge,County of Napa,7072534406.0,"Alterations, New Project",Dry Creek Rd,NAPA,9258385675.0,1777 Oakland Blvd Ste 300,Walnut Creek,,CONTRA COSTA,,Design-Bid-Build,N,http://www.ballconco.com,,,,
Steam Bldg/Amphitheater Impvt/Renov - L/LB,$ 92818000,Flint Builders,ALAMEDA,2025-05-01,2028-08-01,College/University,Chabot-Las Positas Community College District,9254855233.0,"Alterations, New Project",3000 Campus Hill Dr,LIVERMORE,9167571000.0,401 Derek Pl,Roseville,,PLACER,mjuska@flintbuilders.com,Design-Bid-Build,N,http://www.flintbuilders.com/,,,,
Franklin Elementary School Parking Lot & Playground Replace,$ 4249300,"Silicon Valley Paving, Inc.",SANTA CLARA,2025-06-01,,Park/Playground,Franklin-McKinley School District,4082836000.0,"Alterations, New Project",420 Tully Rd,SAN JOSE,4082869101.0,Po Box 26558,San Jose,,SANTA CLARA,todd@svpinc.com,Design-Bid-Build,N,http://www.svpinc.com,,,,
SFO Taxiway Z Rehabilitation,$ 26438393,Granite Construction Company,ALAMEDA,2025-06-01,2025-12-01,Runway/Taxiway,City & County of San Francisco Airports Commission,6508215042.0,"Alterations, New Project",11555 Dublin Blvd,DUBLIN,7074674115.0,1324 S State St,Ukiah,,MENDOCINO,elizabeth.mello@gcinc.com,Design-Bid-Build,Y,https://www.graniteconstruction.com/,,,,
La Passeggiata Apartments & Head Start Facility PPP,$ 44064446,"Sisler & Sisler Constr., Inc.",SAN JOAQUIN,2025-07-01,2026-07-01,Apartments/Condominiums 4  Stories,Visionary Home Builders Of CA Inc,2094666811.0,New Project,622 E Lindsay St,STOCKTON,9164143293.0,2930 Ramona Ave Ste 600,Sacramento,,SACRAMENTO,jobrien@sislerandsisler.com,Design-Bid-Build,N,http://www.sislerandsisler.com,FOLLOW UP,,,
Santa Clara Co Job Order Contract - JOC 76,$ 50000 - $ 6204503,,SANTA CLARA,2025-07-01,,Office,County of Santa Clara,4088854409.0,"Alterations, New Project",2310 N First St,SAN JOSE,,,,,,,Design-Bid-Build,N,,,,,
Monterey Avenue Main Replacement,$ 638000,,SANTA CRUZ,2025-06-01,,Water Line,Soquel Creek Water District,8314758500.0,"Alterations, New Project",Monterey Ave,SOQUEL,,,,,,,Design-Bid-Build,Y,,,,,
CA/DOT: Route 101 Traffic Stripes Installation,$ 777966,"Central Striping Service, Inc.",SANTA CLARA,2025-06-01,,Highway Signs/Guardrails,State of California Department of Transportation,9166542852.0,New Project,Rte 82 & Rte 101 Various Locations,PALO ALTO,9166355175.0,3489 Luyung Dr,Rancho Cordova,,SACRAMENTO,estimating@centralstriping.biz,Design-Bid-Build,N,https://www.centralstripingservice.com/,,,,
Lower Green Valley Creek Off-Channel Habitat Enhancement,$ 2600327,,SONOMA,2025-06-01,,Storm Sewer,Gold Ridge Resource Conservation District,7078235244.0,"Alterations, New Project",9786 Ross Station Rd,SEBASTOPOL,,,,,,,Design-Bid-Build,N,,PRIORITY | REACH OUT,,,
Dry Creek Road Bridge Replacement,$ 6331821,Gordon N. Ball,NAPA,2025-06-01,,Bridge,Napa County Dept of Public Works,7072598331.0,New Project,Dry Creek Rd,NAPA,9258385675.0,333 CAMILLE AVE,ALAMO,,CONTRA COSTA,estimating@ballconco.com,Design-Bid-Build,N,http://www.ballconco.com,,,,
SJC Terminal A Ground Transportation Island,$ 21158240,Graniterock,SANTA CLARA,2025-07-01,,Miscellaneous Recreational,City of San Jose Public Works,4085358300.0,"Alterations, New Project",1701 Airport Blvd,SAN JOSE,4085741461.0,5225 Hellyer Ave Ste 220,San Jose,Cindy Short,SANTA CLARA,cshort@graniterock.com,Design/Build,Y,http://www.graniterock.com,,,,
210 Surmont Drive Single-family Residence Construction,$ 500000 - $ 749999,Building Works,SANTA CLARA,2025-06-01,,Custom Homes,Sandra K. Anderson,4085598850.0,New Project,210 Surmont Drive,Los Gatos,4085598850.0,2730 Union Ave Ste B,San Jose,Robert Hughes,SANTA CLARA,bldngworks2@aol.com,Design-Bid-Build,Y,http://www.thebuildingworks.net,,,,
Lathrop (CA) Walmart Sam's Club 7684-1000,$ 15000000 - $ 24999999,The Whiting-Turner Contracting Company,SAN JOAQUIN,2025-06-01,2026-04-01,Warehouse,Walmart Stores Inc - Corporate,4792734000.0,New Project,16150 Golden Vly Pkwy,LATHROP,4108211100.0,300 E Joppa Rd,Towson,,BALTIMORE,elaine.guarriello@whiting-turner.com,Design-Bid-Build,Y,http://www.whiting-turner.com/,FOLLOW UP,,,
Pavement Renovation No. 69,$ 6718865,Ronan Construction Inc,SAN FRANCISCO,2025-06-01,,Paving,City & County of San Francisco,6282712567.0,"Alterations, New Project",various Locations,SAN FRANCISCO,4157795262.0,3410 Geary Blvd Ste 236,San Francisco,,SAN FRANCISCO,,Design-Bid-Build,Y,,,,,
220 Surmont Drive Single Family Residence Construction,$ 500000 - $ 749999,Building Works,SANTA CLARA,2025-07-01,,Custom Homes,Sandra K. Anderson,4085598850.0,New Project,220 Surmont Drive,Los Gatos,8187616231.0,2730 Union Ave Ste B,San Jose,Stephanie,SANTA CLARA,bldngworks2@aol.com,Design-Bid-Build,Y,http://www.thebuildingworks.net,,,,
New Laurelwood Elem Increment 2 Building Construction,$ 34357975,"Silicon Valley Paving, Inc.",SANTA CLARA,2025-03-01,2026-08-01,Primary School,Santa Clara Unified School District,4084233244.0,New Project,1095 Dunford Way,SUNNYVALE,4082869101.0,Po Box 26558,San Jose,Nelson Olivares,SANTA CLARA,todd@svpinc.com,Design-Bid-Build,Y,http://www.svpinc.com,,,,
House,$ 4403580,,SANTA CLARA,,,Sale/Spec Homes,Pulte Group,,New Project,18764 Cox Ave,Saratoga,,,,,,,,,,,,,
House,$ 1992960,,SANTA CLARA,,,Sale/Spec Homes,Anda Venkata N,,New Project,14768 Vickery Ave,Saratoga,,,,,,,,,,,,,
House,$ 1691322,,SANTA CLARA,,,Sale/Spec Homes,Reddi Sridhar Trustee,,New Project,19301 Harleigh Dr,Saratoga,,,,,,,,,,,,,
House,$ 4121940,,SANTA CLARA,,,Sale/Spec Homes,Pulte Group,,New Project,18764 Cox Ave,Saratoga,,,,,,,,,,,,,
House,$ 602898,,SANTA CLARA,,,Sale/Spec Homes,Norcal Home Bldrs LLC,,New Project,1011 Barbara Ave,Mountain View,,,,,,,,,,,,,
House,$ 1100000,,SONOMA,,,Sale/Spec Homes,Anderson Terry L Tr,,New Project,912 Turnberry Ct,Windsor,,,,,,,,,,,,,
House,$ 1573956,,SANTA CLARA,,,Sale/Spec Homes,Niazi Levent,,New Project,12536 Paseo Flores,Saratoga,,,,,,,,,,,,,
Miscellaneous Sanitary Sewer Repairs 2024-2025 Package Iv,$ 1249140,"Pipe & Plant Solutions, Inc.",SANTA CLARA,2025-07-01,,Sanitary Sewer,City of San Jose,4085353500.0,"Alterations, New Project",,SAN JOSE,8889788264.0,225 3rd St,Oakland,,ALAMEDA,aflorita@pipeandplant.com,Design-Bid-Build,Y,http://www.pipeandplant.com,,,,
House,$ 1632906,,SANTA CLARA,,,Sale/Spec Homes,Martin Lloyd Hartley Jr Trust,,New Project,14221 Paul Ave,Saratoga,,,,,,,,,,,,,
Francis Ranch Residential Development,$ 150000000,,ALAMEDA,2025-04-01,2027-04-01,Sale/Spec Homes,,,New Project,"Fallon Rd N of I-580, E of Fallon Rd & Jordan Ranch Dev, S of Positano Dev",DUBLIN,,,,,,,Design/Build,N,,REACH OUT,,,
RFQ/LLB: Fremont High School New Auto shop,$ 7000000,,SANTA CLARA,,2027-06-01,Middle/Senior High School,Fremont Union High School District,4085222200.0,New Project,575 W Fremont Ave,SUNNYVALE,,,,,,,Design-Bid-Build,N,,,,,
Engineering Construction JOC,$ 5000000,,SAN FRANCISCO,2025-07-01,,Office,San Francisco Public Utilities Commission,6502736352.0,New Project,Various Locations,SAN FRANCISCO,,,,,,,Design-Bid-Build,N,,,,,
Hunters View Blocks 14 & 17 - PHS III,$ 49999999,Cahill Contractors,SAN FRANCISCO,2023-02-01,2025-07-01,Apartments/Condominiums 4  Stories,The John Stewart Company,4153454417.0,New Project,853 Hunters View Drive & 855,SAN FRANCISCO,4159860600.0,425 California St Ste 2200,San Francisco,,SAN FRANCISCO,info@cahill-sf.com,Design-Bid-Build,Y,https://cahill-sf.com/,,,,
Santa Clara Co Job Order Contract - JOC 78,$ 50000 - $ 6204503,,SANTA CLARA,2025-07-01,,Office,County of Santa Clara,4088854409.0,"Alterations, New Project",2310 N First St Various Locations,SAN JOSE,,,,,,,Design-Bid-Build,Y,,,,,
CA/DOT: Roadside Sign Installation,$ 514815,"Central Striping Service, Inc.",SAN JOAQUIN,2025-06-01,,Highway Signs/Guardrails,State of California Department of Transportation,9166542852.0,New Project,Various Locations,STOCKTON,9166355175.0,3489 Luyung Dr,Rancho Cordova,,SACRAMENTO,estimating@centralstriping.biz,Design-Bid-Build,N,https://www.centralstripingservice.com/,,,,
Portal Project (Downtown Rail Extension),$ 50000000 - $ 75000000,,SAN FRANCISCO,,2032-07-01,Railroad,California High-Speed Rail Authority,9163241541.0,New Project,,SAN FRANCISCO,,,,,,,Integrated Project Delivery,N,,FOLLOW UP,,,
RFQ/DB: Hydrogen Fuel Station,$ 9430000,,CONTRA COSTA,,,Vehicle Sales/Service,Eastern Contra Costa Transit Authority,9257546622.0,New Project,,ANTIOCH,,,,,,,Design/Build,N,,,,,
CA/DOT: Side Slope and Soil Nail Wall Construction,$ 5116996,"Ghilotti Bros., Inc.",SONOMA,2025-05-01,,Site Development,State of California Department of Transportation,9166542852.0,"Alterations, New Project",W Cnopius Rd,RUSSIAN RIVER,4154547011.0,525 Jacoby St,San Rafael,,MARIN,sarahk@gbi1914.com,Design-Bid-Build,N,http://www.ghilottibros.com,,,,
Automated Weather Observation System Installation,$ 1699810,Vellutini Corporation Dba Royal Electric,SANTA CLARA,2025-06-01,,Site Development,City of Palo Alto Public Works,6503292151.0,New Project,1925 Embarcadero Rd,PALO ALTO,9162262100.0,8481 Carbide Ct,Sacramento,,SACRAMENTO,estimating-email@royalelect.com,Design-Bid-Build,N,http://www.royalelect.com/,,,,
Morgan Hill East Dunne Sewer Upsize,$ 1177409,Westrock General Engineering,SANTA CLARA,2025-06-01,2025-09-01,Sanitary Sewer,City of Morgan Hill,4083104648.0,"Alterations, New Project",E Dunne Ave Condit Road to Peppertree Drive,MORGAN HILL,6614964265.0,1313 Linda Kay St,Bakersfield,,KERN,westrock001@gmail.com,Design-Bid-Build,Y,,,,,
House,$ 835995,,CONTRA COSTA,,,Sale/Spec Homes,Se Clare Const,,New Project,132 Quinterra Ln,Danville,,,,,,,,,,,,,
Casa Roseland @ Tierra de Rosas Affordable Apartments,$ 25000000 - $ 49999999,Devcon Construction,SONOMA,2024-06-01,2026-05-01,Apartments/Condominiums 4  Stories,MidPen Housing,6503562900.0,New Project,883 Sebastopol Rd,SANTA ROSA,7077651580.0,1480 CADER LN STE C,PETALUMA,,SONOMA,,Construction Management at Risk,N,,,,,
Bid Package 2 - Abatement and Flooring Replacement,$ 700000,,SAN MATEO,2025-05-01,2025-08-01,Primary School,San Mateo-Foster City School District,6503127700.0,"Alterations, New Project",2619 Dolores St.,San Mateo,,,,,,,Design-Bid-Build,Y,,,,,
Bainbridge Park Enhancement,$ 1444623,ABS Builders Inc,MENDOCINO,2025-06-01,2025-11-01,Miscellaneous Recreational,City of Fort Bragg,7079612823.0,"Alterations, New Project",E Laurel St,FORT BRAGG,5304582299.0,1023 Main St,Colusa,,COLUSA,,Design-Bid-Build,Y,https://absbuildersinc.com/,,,,
House,$ 1000000,,MARIN,,,Sale/Spec Homes,Finbarr Collins Const Inc,,New Project,403 Marin Ave,Mill Valley,,,,,,,,,,,,,
RFQ/DB: Stinson Beach Fire Station,$ 11500000,,MARIN,2026-02-01,,Fire/Police Station,Stinson Beach Fire Protection District,,New Project,3422 Shoreline Hwy,STINSON BEACH,,,,,,,Design/Build,N,,,,,
2025 MOT Restroom Addition,$ 928754,Guerra Construction,SANTA CLARA,2025-06-01,,Miscellaneous Education Building,Gilroy Unified School District,6692054000.0,New Project,8670 Swanston Ln,GILROY,4082792027.0,30 QUENDALE AVE,MONTEREY,,MONTEREY,,Design-Bid-Build,Y,,,,,
SCUSD Increment 1 - Phase 1 Modernization Briarwood Elem,$ 3499786,Stronger Building Services,SANTA CLARA,2025-06-01,,Primary School,Santa Clara Unified School District,4084233244.0,"Alterations, New Project",1930 Townsend Ave,SANTA CLARA,5104878363.0,580 Harlan St,San Leandro,Claudia Chavez,ALAMEDA,claudia@strongerbuilding.com,Construction Management at Risk,Y,http://aaafenceco.com/,,,,
Santa Clara 2025 County Roads Trash Capture Devices Install,$ 500000 - $ 749999,,SANTA CLARA,2025-07-01,,Storm Sewer,County of Santa Clara,4088854409.0,New Project,Various Locations,SAN JOSE,,,,,,,Design-Bid-Build,N,,,,,
La Vista Affordable Housing Community,$ 25000000 - $ 49999999,The Pacific Companies,ALAMEDA,2023-09-01,2026-01-01,Apartments/Condominiums 4  Stories,City of Hayward Redevelopment Agency,5105834260.0,New Project,E 16th St,HAYWARD,2084610022.0,430 E State St Ste 100,Eagle,,ADA,calebr@tpchousing.com,Design-Bid-Build,N,https://www.tpchousing.com/,REACH OUT,,,
St Thomas More Green Infrastructure Improvments,$ 1000000 - $ 2999999,,SAN FRANCISCO,2025-03-01,2025-08-01,Storm Sewer,Archdiocese of San Francisco,4152920802.0,New Project,50 Thomas More Way,SAN FRANCISCO,,,,,,,Design-Bid-Build,Y,,,,,
Mary Farm ES Military West Pedestrian Bridge Replacement,$ 1498706,"Leonida Builders, Inc.",SOLANO,2025-07-01,,Bridge,City of Benicia,7077464203.0,New Project,Military W (Drolette Way and West 10th Street),BENICIA,9515327717.0,15821 Live Oak Springs Canyon Rd,Santa Clarita,,NORTHERN LA COUNTY,diego@leonidabuilders.com,Design-Bid-Build,Y,,,,,
New Kairos Luminary Academy High School,$ 7500000,DesCor Builders,SOLANO,2025-06-01,2026-07-01,Middle/Senior High School,Kairos Public Schools,7074537234.0,New Project,850 Sunflower St,VACAVILLE,9164630191.0,1000 Enterprise Way Ste 100,Roseville,,PLACER,jeff.d@descorbuilders.com,Design-Bid-Build,N,http://www.descorbuilders.com,,,,
"The Bridge Academy Portables A, B & C - L/LB",$ 1000000 - $ 2999999,Greystone West Company,SAN MATEO,2025-06-01,,Middle/Senior High School,San Mateo Union High School District,6505582204.0,New Project,798 E Poplar Ave,SAN MATEO,7079330624.0,621 W Spain St,Sonoma,,SONOMA,todd@greystonewest.com,,N,http://www.greystonewest.com/,,,,
FSUSD Three Sites Asphalt Repair,$ 1000000 - $ 2999999,,SOLANO,2025-07-01,,Paving,Fairfield-Suisun Unified School District,7073995000.0,"Alterations, New Project",Various Locations,FAIRFIELD,,,,,,,Design-Bid-Build,N,,,,,
Jean Callison ES Portable Sitework and Portable Improvements,$ 2529000,Schreder & Brandt Mfg. Inc.,SOLANO,2025-06-01,,Primary School,Vacaville Unified School District,7074536117.0,"Alterations, New Project",6261 Vanden Rd,VACAVILLE,5308991104.0,275 Fairchild Ave Ste 100a,Chico,Jackie Pravong,BUTTE,,Design-Bid-Build,Y,,,,,
MMWD Park Road Pipeline Replacement,$ 659895,"D & D Pipelines, Inc.",MARIN,2025-06-01,,Water Line,Marin Municipal Water District,4159451575.0,New Project,142 Bolinas Rd,FAIRFAX,4154412006.0,629 Divisadero St,San Francisco,,SAN FRANCISCO,dennism@ddpipelines.com,Design-Bid-Build,Y,http://www.ddpipelines.com,,,,
House,$ 1215247,,CONTRA COSTA,,,Sale/Spec Homes,Edenbridge Inc,,New Project,70 Nelson Ln,Danville,,,,,,,,,,,,,
House,$ 500000,,CONTRA COSTA,,,Sale/Spec Homes,Sarah Vaccaro,,New Project,40 Nadine Pl,Danville,,,,,,,,,,,,,
House,$ 1058168,,CONTRA COSTA,,,Sale/Spec Homes,Edenbridge Inc,,New Project,60 Nelson Ln,Danville,,,,,,,,,,,,,
Marin CO Glenwood Transmission Pipeline Replacement,$ 3567800,"Maggiora & Ghilotti, Inc.",MARIN,2025-06-01,,Water Line,Marin Municipal Water District,4159451530.0,"Alterations, New Project",Various Location,SAN RAFAEL,4154598640.0,555 Du Bois St,San Rafael,,MARIN,maggioraghilotti@sbcglobal.net,Design-Bid-Build,N,http://www.maggiora-ghilotti.com/,,,,
House,$ 1437265,,CONTRA COSTA,,,Sale/Spec Homes,Edenbridge Inc,,New Project,80 Nelson Ln,Danville,,,,,,,,,,,,,
RFQ/P/LLB: MPR Building Conversion to TK Classroom,$ 10000000 - $ 14999999,,SANTA CRUZ,,,Miscellaneous Recreational,Pacific Elementary School District,8314257002.0,"Alterations, New Project",,DAVENPORT,,,,,,,Design-Bid-Build,N,,,,,
Prescott Station Apartments,$ 25000000 - $ 49999999,Cannon Constructors,ALAMEDA,2022-05-01,2025-06-01,Apartments/Condominiums 4  Stories,,,New Project,2121 Wood St,OAKLAND,4155465500.0,301 Howard St Ste 130,San Francisco,,SAN FRANCISCO,madler@cannongroup.com,Design-Bid-Build,N,https://cannongroup.com/,,,,
Napa - Cuttings Wharf Road & Middle Ave Paving,$ 2725100,O.C. Jones & Sons,NAPA,2025-07-01,,Paving,County of Napa,7072534406.0,"Alterations, New Project",Cuttings Wharf Rd Middle Ave,NAPA,5108093444.0,1520 4th St,Berkeley,Heidi Faria,ALAMEDA,hfaria@ocjones.com,Design-Bid-Build,N,http://www.ocjones.com/,,,,
RFQ/DB: New Creative Arts Building & Associated Work,$ 29000000,,SANTA CLARA,2025-06-01,,Miscellaneous Education Building,Foothill DeAnza Community College District,6509496165.0,"Alterations, New Project",21250 Stevens Creek Blvd,CUPERTINO,,,,,,,Design/Build,N,,,,,
FY 2023-2024 Sanitary Sewer Repairs Package I REBID,$ 703040,"Casey Construction, Inc.",SANTA CLARA,2025-07-01,,Sanitary Sewer,City of San Jose,4085358300.0,"Alterations, New Project",,San Jose,6503691876.0,619 Sylvan Way,Emerald Hills,,SAN MATEO,caseyconstr@sbcglobal.net,Design-Bid-Build,Y,,,,,
Orchard Elementary School Portable Sitework,$ 978000,"101 Builders, Inc.",SOLANO,2025-04-01,2025-08-01,Primary School,Vacaville Unified School District,7074536117.0,"Alterations, New Project",805 N Orchard Ave,VACAVILLE,5305208080.0,10435 Monterey Rd,Gilroy,,SANTA CLARA,antoinette@101buildersinc.com,Design-Bid-Build,Y,,,,,
House,$ 616192,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,39 Erin Dr,San Rafael,,,,,,,,,,,,,
House,$ 616192,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,43 Erin Dr,San Rafael,,,,,,,,,,,,,
House,$ 616192,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,35 Erin Dr,San Rafael,,,,,,,,,,,,,
SCUSD Increment 1 - Phase 1 Modernization Westwood ES,$ 1352480,Elecco,SANTA CLARA,2025-07-01,,Primary School,Santa Clara Unified School District,4084233244.0,"Alterations, New Project",435 Saratoga Ave,SANTA CLARA,5105795293.0,1104 Wrigley Way,Milpitas,,SANTA CLARA,lumnije@svcable.com,Design-Bid-Build,N,https://www.svcable.com/,,,,
